"","PARTICIPANTID","variable","value","Type","Instrument","Mode1","Background","Gender","Mode"
"1","MKATLM2407191050","PCH MJ-MN","Minor","Chord","Piano","MJ-MN","Kalash","Male","MJ-MN"
"2","MKAJRD2507191630","PCH MJ-MN","Minor","Chord","Piano","MJ-MN","Kalash","Male","MJ-MN"
"3","MKAAR0108191730","PCH MJ-MN","Minor","Chord","Piano","MJ-MN","Kalash","Male","MJ-MN"
"4","MKASRD0208191600","PCH MJ-MN","Minor","Chord","Piano","MJ-MN","Kalash","Male","MJ-MN"
"5","MKAMRJ0308191400","PCH MJ-MN","Minor","Chord","Piano","MJ-MN","Kalash","Male","MJ-MN"
"6","FKASHR0408191530","PCH MJ-MN","Minor","Chord","Piano","MJ-MN","Kalash","Female","MJ-MN"
"7","MKAFD2707191400","PCH MJ-MN","Major","Arpeg","Piano","MJ-MN","Kalash","Male","MJ-MN"
"8","MKHMHM1308191130","PCH MJ-MN","Minor","Arpeg","Piano","MJ-MN","Khow","Male","MJ-MN"
"9","MKHABD1508191700","PCH MJ-MN","Minor","Arpeg","Piano","MJ-MN","Khow","Male","MJ-MN"
"10","MKHMHD1808191600","PCH MJ-MN","Minor","Arpeg","Piano","MJ-MN","Khow","Male","MJ-MN"
"11","MKHSHD0608191600","PCH MJ-MN","Minor","Arpeg","Piano","MJ-MN","Khow","Male","MJ-MN"
"12","MKAHRV0308190930","PCH MJ-MN","Minor","Arpeg","Piano","MJ-MN","Kalash","Male","MJ-MN"
"13","MKASH2407191700","PCH MJ-MN","Minor","Chord","Setar","MJ-MN","Kalash","Male","MJ-MN"
"14","MKAHJZ3107191030","PCH MJ-MN","Minor","Chord","Setar","MJ-MN","Kalash","Male","MJ-MN"
"15","MKHTNV2008191100","PCH MJ-MN","Minor","Chord","Setar","MJ-MN","Khow","Male","MJ-MN"
"16","MKHSFL1008191600","PCH MJ-MN","Minor","Chord","Setar","MJ-MN","Khow","Male","MJ-MN"
"17","MKAIKB0208190900","PCH MJ-MN","Minor","Chord","Setar","MJ-MN","Kalash","Male","MJ-MN"
"18","MKHAHT0908191130","PCH MJ-MN","Minor","Chord","Setar","MJ-MN","Khow","Male","MJ-MN"
"19","MKHKMT1708191330","PCH MJ-MN","Minor","Arpeg","Setar","MJ-MN","Khow","Male","MJ-MN"
"20","MKHMSF1808191730","PCH MJ-MN","Major","Arpeg","Setar","MJ-MN","Khow","Male","MJ-MN"
"21","MKATRQ0108191500","PCH MJ-MN","Minor","Arpeg","Setar","MJ-MN","Kalash","Male","MJ-MN"
"22","MKARD2607191000","PCH MJ-MN","Minor","Arpeg","Setar","MJ-MN","Kalash","Male","MJ-MN"
"23","MKAZRMT3107191600","PCH MJ-MN","Minor","Arpeg","Setar","MJ-MN","Kalash","Male","MJ-MN"
"24","MKHIHS0908191430","PCH MJ-MN","Minor","Arpeg","Setar","MJ-MN","Khow","Male","MJ-MN"
"25","FKAGL0308191700","PCH MJ-MN","Minor","Chord","Piano","MJ-MN","Kalash","Female","MJ-MN"
"26","MKAZUD0208191230","PCH MJ-MN","Minor","Chord","Piano","MJ-MN","Kalash","Male","MJ-MN"
"27","MKHHSN0808191330","PCH MJ-MN","Major","Chord","Piano","MJ-MN","Khow","Male","MJ-MN"
"28","MKHISL0808191645","PCH MJ-MN","Minor","Chord","Piano","MJ-MN","Khow","Male","MJ-MN"
"29","MKANS2607191200","PCH MJ-MN","Minor","Chord","Piano","MJ-MN","Kalash","Male","MJ-MN"
"30","MKAAKH2707191615","PCH MJ-MN","Minor","Chord","Piano","MJ-MN","Kalash","Male","MJ-MN"
"31","MKASZD3007190930","PCH MJ-MN","Minor","Arpeg","Piano","MJ-MN","Kalash","Male","MJ-MN"
"32","MKHISQ0708191130","PCH MJ-MN","Minor","Arpeg","Piano","MJ-MN","Khow","Male","MJ-MN"
"33","MKHZHR1008191230","PCH MJ-MN","Minor","Arpeg","Piano","MJ-MN","Khow","Male","MJ-MN"
"34","MKHWL1108191030","PCH MJ-MN","Minor","Arpeg","Piano","MJ-MN","Khow","Male","MJ-MN"
"35","MKHMHD0808191100","PCH MJ-MN","Minor","Arpeg","Piano","MJ-MN","Khow","Male","MJ-MN"
"36","MKARMD0408190945","PCH MJ-MN","Minor","Arpeg","Piano","MJ-MN","Kalash","Male","MJ-MN"
"37","MKHNZR1908191345","PCH MJ-MN","Minor","Chord","Setar","MJ-MN","Khow","Male","MJ-MN"
"38","MKHISF1408191130","PCH MJ-MN","Minor","Chord","Setar","MJ-MN","Khow","Male","MJ-MN"
"39","MKHRFQ1308191515","PCH MJ-MN","Minor","Chord","Setar","MJ-MN","Khow","Male","MJ-MN"
"40","UK629335_1","PCH MJ-MN","Major","Chord","Setar","MJ-MN","UK","Male","MJ-MN"
"41","UK337940_2","PCH MJ-MN","Major","Chord","Setar","MJ-MN","UK","Female","MJ-MN"
"42","UK395228_2","PCH MJ-MN","Minor","Chord","Setar","MJ-MN","UK","Female","MJ-MN"
"43","UK523822_2","PCH MJ-MN","Major","Arpeg","Setar","MJ-MN","UK","Female","MJ-MN"
"44","UK123046_2","PCH MJ-MN","Minor","Arpeg","Setar","MJ-MN","UK","Female","MJ-MN"
"45","UK499949_1","PCH MJ-MN","Minor","Arpeg","Setar","MJ-MN","UK","Male","MJ-MN"
"46","UK464301_1","PCH MJ-MN","Major","Arpeg","Setar","MJ-MN","UK","Male","MJ-MN"
"47","UK361432_2","PCH MJ-MN","Major","Arpeg","Setar","MJ-MN","UK","Female","MJ-MN"
"48","UK440729_2","PCH MJ-MN","Minor","Arpeg","Setar","MJ-MN","UK","Female","MJ-MN"
"49","UK386152_1","PCH MJ-MN","Minor","Chord","Piano","MJ-MN","UK","Male","MJ-MN"
"50","UK468521_2","PCH MJ-MN","Major","Chord","Piano","MJ-MN","UK","Female","MJ-MN"
"51","UK490419_1","PCH MJ-MN","Major","Chord","Piano","MJ-MN","UK","Male","MJ-MN"
"52","UK207435_2","PCH MJ-MN","Major","Chord","Piano","MJ-MN","UK","Female","MJ-MN"
"53","UK130640_1","PCH MJ-MN","Major","Chord","Piano","MJ-MN","UK","Male","MJ-MN"
"54","UK328998_2","PCH MJ-MN","Major","Chord","Piano","MJ-MN","UK","Female","MJ-MN"
