"PARTICIPANTID","variable","Rating","Type","Instrument","Mode","Background","Gender"
"MKATLM2407191050","VPCH MJ",3,"Chord","Piano","Major","Kalash","Male"
"MKAJRD2507191630","VPCH MJ",4,"Chord","Piano","Major","Kalash","Male"
"MKAAR0108191730","VPCH MJ",4,"Chord","Piano","Major","Kalash","Male"
"MKASRD0208191600","VPCH MJ",3,"Chord","Piano","Major","Kalash","Male"
"MKAMRJ0308191400","VPCH MJ",2,"Chord","Piano","Major","Kalash","Male"
"FKASHR0408191530","VPCH MJ",3,"Chord","Piano","Major","Kalash","Female"
"MKAFD2707191400","VPCH MJ",2,"Chord","Piano","Major","Kalash","Male"
"MKHMHM1308191130","VPCH MJ",4,"Chord","Piano","Major","Khow","Male"
"MKHABD1508191700","VPCH MJ",3,"Chord","Piano","Major","Khow","Male"
"MKHMHD1808191600","VPCH MJ",4,"Chord","Piano","Major","Khow","Male"
"MKHSHD0608191600","VPCH MJ",2,"Chord","Piano","Major","Khow","Male"
"MKAHRV0308190930","VPCH MJ",2,"Chord","Piano","Major","Kalash","Male"
"MKASH2407191700","VPCH MJ",3,"Chord","Piano","Major","Kalash","Male"
"MKAHJZ3107191030","VPCH MJ",1,"Chord","Piano","Major","Kalash","Male"
"MKHTNV2008191100","VPCH MJ",3,"Chord","Piano","Major","Khow","Male"
"MKHSFL1008191600","VPCH MJ",2,"Chord","Piano","Major","Khow","Male"
"MKAIKB0208190900","VPCH MJ",4,"Chord","Piano","Major","Kalash","Male"
"MKHAHT0908191130","VPCH MJ",3,"Chord","Piano","Major","Khow","Male"
"MKHKMT1708191330","VPCH MJ",2,"Chord","Piano","Major","Khow","Male"
"MKHMSF1808191730","VPCH MJ",3,"Chord","Piano","Major","Khow","Male"
"MKATRQ0108191500","VPCH MJ",4,"Chord","Piano","Major","Kalash","Male"
"MKARD2607191000","VPCH MJ",2,"Chord","Piano","Major","Kalash","Male"
"MKAZRMT3107191600","VPCH MJ",1,"Chord","Piano","Major","Kalash","Male"
"MKHIHS0908191430","VPCH MJ",4,"Chord","Piano","Major","Khow","Male"
"FKAGL0308191700","VPCH MJ",4,"Chord","Piano","Major","Kalash","Female"
"MKAZUD0208191230","VPCH MJ",4,"Chord","Piano","Major","Kalash","Male"
"MKHHSN0808191330","VPCH MJ",2,"Chord","Piano","Major","Khow","Male"
"MKHISL0808191645","VPCH MJ",2,"Chord","Piano","Major","Khow","Male"
"MKANS2607191200","VPCH MJ",4,"Chord","Piano","Major","Kalash","Male"
"MKAAKH2707191615","VPCH MJ",2,"Chord","Piano","Major","Kalash","Male"
"MKASZD3007190930","VPCH MJ",3,"Chord","Piano","Major","Kalash","Male"
"MKHISQ0708191130","VPCH MJ",2,"Chord","Piano","Major","Khow","Male"
"MKHZHR1008191230","VPCH MJ",3,"Chord","Piano","Major","Khow","Male"
"MKHWL1108191030","VPCH MJ",2,"Chord","Piano","Major","Khow","Male"
"MKHMHD0808191100","VPCH MJ",4,"Chord","Piano","Major","Khow","Male"
"MKARMD0408190945","VPCH MJ",4,"Chord","Piano","Major","Kalash","Male"
"MKHNZR1908191345","VPCH MJ",3,"Chord","Piano","Major","Khow","Male"
"MKHISF1408191130","VPCH MJ",3,"Chord","Piano","Major","Khow","Male"
"MKHRFQ1308191515","VPCH MJ",3,"Chord","Piano","Major","Khow","Male"
"UK629335_1","VPCH MJ",5,"Chord","Piano","Major","UK","Male"
"UK337940_2","VPCH MJ",5,"Chord","Piano","Major","UK","Female"
"UK395228_2","VPCH MJ",5,"Chord","Piano","Major","UK","Female"
"UK523822_2","VPCH MJ",4,"Chord","Piano","Major","UK","Female"
"UK123046_2","VPCH MJ",3,"Chord","Piano","Major","UK","Female"
"UK499949_1","VPCH MJ",2,"Chord","Piano","Major","UK","Male"
"UK464301_1","VPCH MJ",4,"Chord","Piano","Major","UK","Male"
"UK361432_2","VPCH MJ",3,"Chord","Piano","Major","UK","Female"
"UK440729_2","VPCH MJ",1,"Chord","Piano","Major","UK","Female"
